"region","district","municipality","parish","lat","lon","origin","alert_hour","extinction_hour","firstInterv_hour","village_area","vegetation_area","farming_area","village_veget_area","total_area","alert_day","alert_month","alert_year","firstInterv_day","firstInterv_month","firstInterv_year","extinction_day","extinction_month","extinction_year"
3,9,249,1476,40.7463888888889,7.315,1,34440,37500,35100,0,0,1e-04,0,1e-04,9,3,2014,9,3,2014,9,3,2014
5,3,200,575,41.6241666666667,8.2375,5,36600,45000,38400,0.6,0.26,0,0.86,0.86,9,3,2014,9,3,2014,9,3,2014
5,16,191,1702,41.7680555555556,8.30583333333333,4,45360,64080,45900,0.3,1.7,0,2,2,9,3,2014,9,3,2014,9,3,2014
5,16,193,292,41.7994444444444,8.59333333333333,5,52380,56880,53400,0,0.05,0,0.05,0.05,9,3,2014,9,3,2014,9,3,2014
5,13,26,1458,41.3433333333333,7.98583333333333,5,54600,59100,55200,0.005,0.005,0,0.01,0.01,9,3,2014,9,3,2014,9,3,2014
7,17,147,1118,41.7213888888889,7.91972222222222,4,65400,77160,67200,0.2,0.8,0,1,1,9,3,2014,9,3,2014,9,3,2014
7,4,120,1543,41.4597222222222,7.00416666666667,4,35100,59100,36360,0,2.45,0,2.45,2.45,10,3,2014,10,3,2014,10,3,2014
5,3,200,609,41.5597222222222,8.28888888888889,4,44700,53640,45600,0,2.63,0,2.63,2.63,10,3,2014,10,3,2014,10,3,2014
5,3,280,481,41.7505555555556,8.39222222222222,5,49080,61200,51600,0.02,0.1,0,0.12,0.12,10,3,2014,10,3,2014,10,3,2014
5,13,40,1717,41.1891666666667,7.93805555555556,5,51900,55500,52860,0,0.92,0,0.92,0.92,10,3,2014,10,3,2014,10,3,2014
7,17,147,395,41.8052777777778,7.69861111111111,5,52200,56700,52800,0,0.01,0,0.01,0.01,10,3,2014,10,3,2014,10,3,2014
4,18,211,1666,40.3852777777778,8.15472222222222,5,52380,54000,52980,0.05,0.03,0,0.08,0.08,10,3,2014,10,3,2014,10,3,2014
6,15,230,1536,38.545,9.02444444444444,5,54120,57060,54480,0,0.0355,0,0.0355,0.0355,10,3,2014,10,3,2014,10,3,2014
4,10,190,738,39.9991666666667,8.7575,2,55140,60060,56400,0,0,0.025,0,0.025,10,3,2014,10,3,2014,10,3,2014
7,4,57,1540,41.2455555555556,7.27388888888889,5,56700,60300,57300,0,0.47,0,0.47,0.47,10,3,2014,10,3,2014,10,3,2014
5,3,269,157,41.4594444444445,8.48666666666667,1,60660,76800,61200,1.18,0,0,1.18,1.18,10,3,2014,10,3,2014,10,3,2014
6,14,71,1510,39.3486111111111,8.46972222222222,5,62700,66360,62940,0,0.0239,0,0.0239,0.0239,10,3,2014,10,3,2014,10,3,2014
5,16,30,1610,41.8361111111111,8.43388888888889,4,64980,68760,65400,0,1,0,1,1,10,3,2014,10,3,2014,10,3,2014
4,18,284,1707,40.6669444444444,7.92,5,66000,67500,66300,0,0.02,0,0.02,0.02,10,3,2014,10,3,2014,10,3,2014
5,1,212,1152,40.94,8.46305555555555,5,67800,73800,69120,0,0.224,0,0.224,0.224,10,3,2014,10,3,2014,10,3,2014
5,16,253,382,41.9830555555556,8.60194444444444,5,71760,80400,71760,0.5,0.3,0,0.8,0.8,10,3,2014,10,3,2014,10,3,2014
5,13,126,1007,41.1183333333333,8.12416666666667,4,72000,85200,74100,0,2,0,2,2,10,3,2014,10,3,2014,10,3,2014
7,17,147,1175,41.65,7.96666666666667,5,74400,79200,75600,0,0.1,0,0.1,0.1,10,3,2014,10,3,2014,10,3,2014
5,18,73,893,41.0083333333333,8.15694444444444,4,76500,2400,78600,0,2,0,2,2,10,3,2014,10,3,2014,11,3,2014
3,9,224,1349,40.4,7.71472222222222,5,81900,85800,82200,0.05,0,0,0.05,0.05,10,3,2014,10,3,2014,10,3,2014
5,1,34,1531,40.905,8.25277777777778,5,32400,40200,33300,0,0.3246,0,0.3246,0.3246,11,3,2014,11,3,2014,11,3,2014
4,18,65,831,40.9572222222222,7.80333333333333,4,42300,52200,45120,4.5,0,0,4.5,4.5,11,3,2014,11,3,2014,11,3,2014
4,10,199,681,39.6311111111111,8.89194444444444,2,45840,48900,46500,0,0,0.02,0,0.02,11,3,2014,11,3,2014,11,3,2014
5,16,193,562,41.6413888888889,8.54638888888889,4,48840,61500,49800,9,0,0,9,9,11,3,2014,11,3,2014,11,3,2014
7,17,147,395,41.7830555555556,7.80694444444444,5,50400,63900,51300,0,0.5,0,0.5,0.5,11,3,2014,11,3,2014,11,3,2014
4,18,284,1542,40.7011111111111,7.77111111111111,5,53760,59400,54960,0,0.01,0,0.01,0.01,11,3,2014,11,3,2014,11,3,2014
7,17,49,239,41.7305555555556,7.61833333333333,4,58920,64800,60360,0,1,0,1,1,11,3,2014,11,3,2014,11,3,2014
7,4,14,1180,41.4294444444444,6.985,4,59100,68700,60000,0,1.1,0,1.1,1.1,11,3,2014,11,3,2014,11,3,2014
4,18,158,892,40.5430555555556,7.86027777777778,5,65640,71280,65940,0.35,0.009,0,0.359,0.359,11,3,2014,11,3,2014,11,3,2014
3,9,106,1816,40.4855555555556,7.15388888888889,1,71340,74100,72600,0,0.2,0,0.2,0.2,11,3,2014,11,3,2014,11,3,2014
3,9,209,1678,40.4427777777778,7.07555555555555,1,71460,84600,74700,0,0.5,0,0.5,0.5,11,3,2014,11,3,2014,11,3,2014
3,5,61,362,39.8138888888889,7.49333333333333,5,27000,30900,27900,0,0.015,0,0.015,0.015,12,3,2014,12,3,2014,12,3,2014
5,16,257,1604,41.695,8.82444444444444,4,33180,55380,38400,6,0,0,6,6,12,3,2014,12,3,2014,12,3,2014
4,1,165,527,40.9177777777778,8.43555555555556,5,37800,40920,38100,0,0.0015,0,0.0015,0.0015,12,3,2014,12,3,2014,12,3,2014
4,6,169,1587,40.4219444444444,7.92333333333333,5,43260,46200,44100,0,0.002,0,0.002,0.002,12,3,2014,12,3,2014,12,3,2014
7,4,51,1102,41.7236111111111,6.81611111111111,4,43980,57600,45000,0,1.27,0,1.27,1.27,12,3,2014,12,3,2014,12,3,2014
6,14,170,1605,39.6980555555556,8.62194444444444,2,45180,61560,54171.8030876784,0,0,0.4869,0,0.4869,12,3,2014,5,8,2015,12,3,2014
6,14,247,399,39.5530555555556,8.55277777777778,5,47160,56520,48360,0,0.1369,0,0.1369,0.1369,12,3,2014,12,3,2014,12,3,2014
5,3,88,1762,41.5047222222222,8.07694444444444,4,52200,77100,53100,0,62,0,62,62,12,3,2014,12,3,2014,12,3,2014
5,13,126,220,41.1761111111111,8.10666666666667,5,52680,61200,53700,0,0.34,0,0.34,0.34,12,3,2014,12,3,2014,12,3,2014
5,16,30,642,41.9069444444444,8.40722222222222,5,55560,66600,63840,0,0.5,0,0.5,0.5,12,3,2014,12,3,2014,12,3,2014
4,1,2,1692,40.6538888888889,8.455,5,60600,69600,61320,0.3,0,0,0.3,0.3,12,3,2014,12,3,2014,12,3,2014
7,4,97,1602,41.0922222222222,6.80888888888889,4,63960,81000,64800,0,15.82,0,15.82,15.82,12,3,2014,12,3,2014,12,3,2014
3,9,209,1678,40.4427777777778,7.07555555555555,1,69120,75540,70200,0,0.5,0,0.5,0.5,12,3,2014,12,3,2014,12,3,2014
7,17,147,392,41.7602777777778,7.67305555555556,4,36180,64800,37800,2,18.5,0,20.5,20.5,13,3,2014,13,3,2014,13,3,2014
7,17,274,102,41.4747222222222,7.72805555555556,4,44580,57960,54171.8030876784,0,11,0,11,11,13,3,2014,5,8,2015,13,3,2014
5,3,107,538,41.4447222222222,8.31888888888889,4,50940,63000,51300,2,0,0,2,2,13,3,2014,13,3,2014,13,3,2014
7,17,147,395,41.8016666666667,7.70916666666667,5,53400,64800,54600,0,0.5,0,0.5,0.5,13,3,2014,13,3,2014,13,3,2014
6,14,243,915,39.6130555555556,8.48055555555556,5,54600,59040,55740,0,0.0465,0,0.0465,0.0465,13,3,2014,13,3,2014,13,3,2014
7,4,97,590,41.090144,6.835867,5,58560,63900,59400,0,0.3,0,0.3,0.3,13,3,2014,13,3,2014,13,3,2014
3,5,78,1579,40.2672222222222,7.50638888888889,5,61800,66600,62400,0,0.03,0,0.03,0.03,13,3,2014,13,3,2014,13,3,2014
5,3,200,1406,41.6272222222222,8.20888888888889,5,69780,74100,70800,0,0.21,0,0.21,0.21,13,3,2014,13,3,2014,13,3,2014
7,17,274,254,41.5461111111111,7.54138888888889,1,73620,78300,75600,0,0.01,0,0.01,0.01,13,3,2014,13,3,2014,13,3,2014
7,17,206,390,41.473447,7.844624,5,5220,14400,5940,0.5,0,0,0.5,0.5,14,3,2014,14,3,2014,14,3,2014
4,10,190,1670,39.8211111111111,8.605,5,43620,58500,45000,0.3,0,0,0.3,0.3,14,3,2014,14,3,2014,14,3,2014
7,17,206,1658,41.5088888888889,7.79,4,46800,54000,47400,0.2,1.3,0,1.5,1.5,14,3,2014,14,3,2014,14,3,2014
5,16,193,1129,41.7672222222222,8.54888888888889,5,33060,35880,33420,0.01,0,0,0.01,0.01,15,3,2014,15,3,2014,15,3,2014
3,9,209,1078,40.3194444444444,6.99416666666667,5,39900,49440,40500,0.25,0.25,0,0.5,0.5,15,3,2014,15,3,2014,15,3,2014
6,14,170,900,39.7411111111111,8.57666666666667,2,45240,53640,45960,0,0,0.411,0,0.411,15,3,2014,15,3,2014,15,3,2014
5,1,252,1148,40.8530555555556,8.33055555555556,4,50820,71400,51600,0,6.25,0,6.25,6.25,15,3,2014,15,3,2014,15,3,2014
7,17,72,1190,41.7722222222222,7.23527777777778,4,50880,68400,52800,0.5,2.5,0,3,3,15,3,2014,15,3,2014,15,3,2014
7,4,245,1595,41.1269444444444,7.00222222222222,4,55500,71880,55620,0,9.04,0,9.04,9.04,15,3,2014,15,3,2014,15,3,2014
7,17,145,1553,41.3811111111111,7.95333333333333,5,55800,59400,57420,0.15,0.1,0,0.25,0.25,15,3,2014,15,3,2014,15,3,2014
5,16,30,1671,41.8013888888889,8.50861111111111,5,58200,64200,58380,0.55,0.06,0,0.61,0.61,15,3,2014,15,3,2014,15,3,2014
5,3,69,156,41.3625,8.03611111111111,5,59040,66000,59700,0,0.5,0,0.5,0.5,15,3,2014,15,3,2014,15,3,2014
5,3,50,989,41.5661111111111,8.31055555555556,5,68100,72900,68700,0,0.01,0,0.01,0.01,15,3,2014,15,3,2014,15,3,2014
7,18,238,1391,41.1577777777778,7.55388888888889,5,69360,75000,70500,0,0.1,0,0.1,0.1,15,3,2014,15,3,2014,15,3,2014
4,18,58,213,40.5322222222222,7.95027777777778,5,74700,79680,75360,0,0.5,0,0.5,0.5,15,3,2014,15,3,2014,15,3,2014
5,13,26,312,41.3433333333333,7.98583333333333,4,35400,61200,36600,0,11.8,0,11.8,11.8,16,3,2014,16,3,2014,16,3,2014
5,16,54,1529,41.8386111111111,8.685,4,35640,45600,37500,0,4.88,0,4.88,4.88,16,3,2014,16,3,2014,16,3,2014
5,16,257,333,41.7511111111111,8.86388888888889,4,37800,55500,38100,0,26.307,0,26.307,26.307,16,3,2014,16,3,2014,16,3,2014
5,16,257,937,41.6861111111111,8.70083333333333,4,39840,26460,42300,78.457,40.076,0,118.533,118.533,16,3,2014,16,3,2014,17,3,2014
3,9,209,53,40.4352777777778,6.87083333333333,1,41160,43740,42000,0,0.01,0,0.01,0.01,16,3,2014,16,3,2014,16,3,2014
7,17,72,1855,41.7077777777778,7.45333333333333,4,41880,68700,43800,0,4,0,4,4,16,3,2014,16,3,2014,16,3,2014
6,14,76,423,39.4841666666667,8.33305555555556,5,47460,53400,48420,0,0.0193,0,0.0193,0.0193,16,3,2014,16,3,2014,16,3,2014
4,18,167,1637,40.7297222222222,8.16222222222222,5,50400,56340,50940,0,0.05,0,0.05,0.05,16,3,2014,16,3,2014,16,3,2014
6,11,122,1585,38.9547222222222,9.23944444444444,1,54900,63960,55620,0,1,0,1,1,16,3,2014,16,3,2014,16,3,2014
5,3,41,1119,41.4558333333333,8.69444444444444,4,60840,77700,61500,11,0,0,11,11,16,3,2014,16,3,2014,16,3,2014
3,9,209,1425,40.3319444444444,6.90777777777778,4,62580,69960,63900,0.5,14,0,14.5,14.5,16,3,2014,16,3,2014,16,3,2014
5,3,260,318,41.6744444444444,8.00361111111111,4,64440,77100,66300,0.5,4,0,4.5,4.5,16,3,2014,16,3,2014,16,3,2014
5,18,205,1122,41.0930555555556,7.93583333333333,1,65100,70800,66540,0,0.15,0,0.15,0.15,16,3,2014,16,3,2014,16,3,2014
7,4,264,1555,41.2822222222222,7.22138888888889,5,69900,72900,69960,0,0.001,0,0.001,0.001,16,3,2014,16,3,2014,16,3,2014
7,17,206,1176,41.509314,7.790563,5,25800,31200,28200,0.1,0,0,0.1,0.1,17,3,2014,17,3,2014,17,3,2014
5,16,257,880,41.6536111111111,8.70111111111111,5,36540,43500,37680,0.2,0,0,0.2,0.2,17,3,2014,17,3,2014,17,3,2014
5,3,41,1119,41.43,8.57027777777778,5,41520,46800,42000,0,0.02,0,0.02,0.02,17,3,2014,17,3,2014,17,3,2014
5,16,257,937,41.6861111111111,8.70083333333333,5,45180,59400,49140,0,0.05,0,0.05,0.05,17,3,2014,17,3,2014,17,3,2014
5,1,252,1148,40.8530555555556,8.33055555555556,5,46500,55800,47400,0,0.02,0,0.02,0.02,17,3,2014,17,3,2014,17,3,2014
7,17,147,804,41.8325,7.73861111111111,5,47700,54000,48420,0,0.5,0,0.5,0.5,17,3,2014,17,3,2014,17,3,2014
5,18,205,1318,41.1111111111111,7.88111111111111,4,49980,65100,54300,0,9.35,0,9.35,9.35,17,3,2014,17,3,2014,17,3,2014
6,14,46,1182,38.9372222222222,8.87055555555556,2,51360,52200,51660,0,0,0.0236,0,0.0236,17,3,2014,17,3,2014,17,3,2014
6,5,228,1501,39.8541666666667,7.97027777777778,5,64080,76200,65280,0.073,0,0,0.073,0.073,17,3,2014,17,3,2014,17,3,2014
3,9,132,342,40.87,7.27972222222222,4,67200,76200,69600,0.5,2.5,0,3,3,17,3,2014,17,3,2014,17,3,2014
4,6,74,376,40.1763888888889,8.44138888888889,5,68220,70500,68760,0,0.001,0,0.001,0.001,17,3,2014,17,3,2014,17,3,2014
4,18,286,1326,40.7136111111111,8.01805555555556,5,78240,0,80100,0,0.03,0,0.03,0.03,17,3,2014,17,3,2014,18,3,2014
5,16,191,182,41.7761111111111,8.35444444444444,5,51660,58200,53100,0.3,0,0,0.3,0.3,18,3,2014,18,3,2014,18,3,2014
5,3,107,671,41.4280555555556,8.24388888888889,4,53460,67500,54600,0,1.4,0,1.4,1.4,18,3,2014,18,3,2014,18,3,2014
5,16,30,1608,41.8905555555556,8.3625,5,54660,67200,54720,0,0.5,0,0.5,0.5,18,3,2014,18,3,2014,18,3,2014
7,4,283,1874,41.831974,7.00037,2,55260,69600,55800,0,0,7e-04,0,7e-04,18,3,2014,18,3,2014,18,3,2014
5,3,88,1315,41.4408333333333,8.22833333333333,5,55500,61200,56700,0.1,0.6,0,0.7,0.7,18,3,2014,18,3,2014,18,3,2014
4,18,286,1326,40.7333333333333,8.05166666666667,5,56100,65400,56880,0,0.001,0,0.001,0.001,18,3,2014,18,3,2014,18,3,2014
5,16,193,1111,41.8016666666667,8.54138888888889,5,60660,66000,62220,0.9,0,0,0.9,0.9,18,3,2014,18,3,2014,18,3,2014
3,9,106,108,40.5980555555556,7.24416666666667,1,62820,69600,64800,0,0.5,0,0.5,0.5,18,3,2014,18,3,2014,18,3,2014
2,8,240,419,37.1766666666667,7.58361111111111,2,71100,2700,71580,0,0,0.04,0,0.04,18,3,2014,18,3,2014,19,3,2014
5,3,260,1156,41.5775,8.10888888888889,2,82500,1260,83580,0,0,0.3,0,0.3,18,3,2014,18,3,2014,19,3,2014
1,12,101,219,39.5505555555556,7.94305555555556,2,46260,51000,46860,0,0,0.2268,0,0.2268,19,3,2014,19,3,2014,19,3,2014
5,1,212,505,40.9233333333333,8.51583333333333,5,47640,54600,49140,0,0.2094,0,0.2094,0.2094,19,3,2014,19,3,2014,19,3,2014
5,3,41,1521,41.6413888888889,8.64555555555556,4,49680,56280,50700,3.39,0,0,3.39,3.39,19,3,2014,19,3,2014,19,3,2014
7,18,113,1764,41.0711111111111,7.77277777777778,5,51720,55500,52920,0,0.05,0,0.05,0.05,19,3,2014,19,3,2014,19,3,2014
7,4,139,1472,41.653245,7.145155,5,55320,60780,55440,0.035,0,0,0.035,0.035,19,3,2014,19,3,2014,19,3,2014
5,3,260,1662,41.6763888888889,7.99,4,57180,80100,58200,1,12,0,13,13,19,3,2014,19,3,2014,19,3,2014
1,7,256,41,38.3758333333333,8.18083333333333,1,60240,77400,64200,0.57,0,0,0.57,0.57,19,3,2014,19,3,2014,19,3,2014
5,1,212,1152,41.0283333333333,8.52388888888889,5,66300,72600,67200,0,0.9,0,0.9,0.9,19,3,2014,19,3,2014,19,3,2014
7,17,147,1631,41.6161111111111,7.87916666666667,5,66600,75000,67200,0,0.5,0,0.5,0.5,19,3,2014,19,3,2014,19,3,2014
4,6,56,1653,40.3713888888889,8.64083333333333,5,72720,79200,73500,0.03,0,0,0.03,0.03,19,3,2014,19,3,2014,19,3,2014
5,16,30,1140,41.8486111111111,8.47444444444444,5,74340,78780,74940,0,0.2,0,0.2,0.2,19,3,2014,19,3,2014,19,3,2014
5,16,253,382,41.9777777777778,8.63222222222222,5,74520,77700,74880,0,0.01,0,0.01,0.01,19,3,2014,19,3,2014,19,3,2014
5,16,143,729,42.0844444444444,8.36444444444444,4,79140,780,80280,1,0,0,1,1,19,3,2014,19,3,2014,20,3,2014
7,17,147,395,41.7830555555556,7.80694444444444,4,39300,57600,40200,0,1,0,1,1,20,3,2014,20,3,2014,20,3,2014
4,18,58,927,40.4361111111111,7.96527777777778,4,42960,60600,44100,0.05,9.5,0,9.55,9.55,20,3,2014,20,3,2014,20,3,2014
5,3,241,1135,41.6822222222222,8.22666666666667,5,43620,47640,43620,0,0.2,0,0.2,0.2,20,3,2014,20,3,2014,20,3,2014
3,9,249,1449,40.7636111111111,7.28472222222222,4,52500,67200,53100,5,3,0,8,8,20,3,2014,20,3,2014,20,3,2014
5,1,252,1148,40.8530555555556,8.33055555555556,5,52800,64500,54000,0,0.2,0,0.2,0.2,20,3,2014,20,3,2014,20,3,2014
5,3,41,1119,41.4558333333333,8.69444444444444,5,54240,69900,54720,0.45,0,0,0.45,0.45,20,3,2014,20,3,2014,20,3,2014
7,18,113,717,41.0313888888889,7.84527777777778,4,54480,67500,57000,3.1,0,0,3.1,3.1,20,3,2014,20,3,2014,20,3,2014
5,16,143,1627,42.0669444444444,8.43388888888889,5,55200,64020,56100,0,0.05,0,0.05,0.05,20,3,2014,20,3,2014,20,3,2014
3,9,249,1721,40.8369444444444,7.28361111111111,5,57300,64800,58500,0.01,0.04,0,0.05,0.05,20,3,2014,20,3,2014,20,3,2014
4,6,169,740,40.3177777777778,7.93166666666667,5,60540,66600,61500,0.25,0.05,0,0.3,0.3,20,3,2014,20,3,2014,20,3,2014
5,3,241,343,41.7477777777778,8.22388888888889,4,74640,0,76500,0.07,1.53,0,1.6,1.6,20,3,2014,20,3,2014,21,3,2014
7,4,264,1555,41.2802777777778,7.19888888888889,5,43200,48000,44100,0,0.05,0,0.05,0.05,22,3,2014,22,3,2014,22,3,2014
7,17,15,1801,41.325275,7.486249,5,59820,64500,61080,0,0.05,0,0.05,0.05,22,3,2014,22,3,2014,22,3,2014
1,7,35,669,38.7119444444444,8.07416666666667,1,38940,43800,40200,0,0,0.5,0,0.5,23,3,2014,23,3,2014,23,3,2014
7,18,238,1391,41.048176,7.537235,5,56100,59700,56700,0,0.018,0,0.018,0.018,23,3,2014,23,3,2014,23,3,2014
6,14,170,1384,39.6741666666667,8.52666666666667,5,59760,64380,60840,0,0.0872,0,0.0872,0.0872,23,3,2014,23,3,2014,23,3,2014
3,9,209,1166,40.3483333333333,7.01916666666667,1,58560,64800,59700,0,1,0,1,1,24,3,2014,24,3,2014,24,3,2014
2,8,218,1269,37.1666666666667,7.91555555555556,2,63900,67800,64500,0,0,0.0282,0,0.0282,25,3,2014,25,3,2014,25,3,2014
1,7,204,849,38.4422222222222,7.37944444444444,1,38820,45180,40800,0,0,2e-04,0,2e-04,26,3,2014,26,3,2014,26,3,2014
1,15,216,101,38.0797222222222,8.64138888888889,2,40200,45780,40800,0,0,0.01,0,0.01,26,3,2014,26,3,2014,26,3,2014
6,10,157,1718,39.585,9.02361111111111,2,69360,77700,69960,0,0,0.02,0,0.02,26,3,2014,26,3,2014,26,3,2014
4,18,223,1661,40.75,7.63138888888889,5,82320,4140,83700,0.1705,0,0,0.1705,0.1705,26,3,2014,26,3,2014,27,3,2014
3,9,209,888,40.3847222222222,6.98166666666667,1,52920,58680,53400,0,1,0,1,1,27,3,2014,27,3,2014,27,3,2014
6,14,9,838,39.493229,8.659707,5,70260,72780,70800,0,2e-04,0,2e-04,2e-04,28,3,2014,28,3,2014,28,3,2014
5,16,257,471,41.6775,8.78444444444444,5,69180,72120,70020,0,0.05,0,0.05,0.05,29,3,2014,29,3,2014,29,3,2014
4,18,284,1341,40.6908333333333,7.78722222222222,5,58560,66600,59400,0,0.15,0,0.15,0.15,7,4,2014,7,4,2014,7,4,2014
4,18,284,1577,40.6366666666667,8.04166666666667,5,61260,64800,62220,0.01,0.02,0,0.03,0.03,7,4,2014,7,4,2014,7,4,2014
5,1,252,1340,40.8208333333333,8.405,5,53640,60300,54000,0,0.12,0,0.12,0.12,8,4,2014,8,4,2014,8,4,2014
5,3,200,306,41.5527777777778,8.27333333333333,4,57900,66900,58500,0,1.49,0,1.49,1.49,8,4,2014,8,4,2014,8,4,2014
5,16,133,1570,42.1275,8.23388888888889,1,54360,56700,54600,0,0,0.01,0,0.01,9,4,2014,9,4,2014,9,4,2014
1,12,195,1729,39.2497222222222,7.93555555555556,5,55800,57720,56940,0.0265,0,0,0.0265,0.0265,9,4,2014,9,4,2014,9,4,2014
4,10,179,1815,39.925,8.20722222222222,5,50220,56340,50880,0.07,0.16,0,0.23,0.23,10,4,2014,10,4,2014,10,4,2014
3,9,224,694,40.4855555555556,7.725,5,51840,62160,52620,0.4,0,0,0.4,0.4,10,4,2014,10,4,2014,10,4,2014
4,1,231,445,40.7866666666667,8.38527777777778,4,57360,70800,58740,0.9,0.3,0,1.2,1.2,10,4,2014,10,4,2014,10,4,2014
7,4,265,1203,41.3605555555556,7.06527777777778,5,60420,67800,61500,0,0.0075,0,0.0075,0.0075,10,4,2014,10,4,2014,10,4,2014
5,3,50,1158,41.4933333333333,8.49166666666667,5,62940,70800,63600,0,0.51,0,0.51,0.51,10,4,2014,10,4,2014,10,4,2014
6,14,170,1605,39.6833333333333,8.63416666666667,5,65640,67620,66300,0,0.0053,0,0.0053,0.0053,10,4,2014,10,4,2014,10,4,2014
3,9,209,1166,40.355,7.0775,1,68340,70200,68760,0,0.01,0,0.01,0.01,10,4,2014,10,4,2014,10,4,2014
4,1,37,509,40.6813888888889,8.595,1,18600,21600,19200,0,0,0.0028,0,0.0028,11,4,2014,11,4,2014,11,4,2014
5,16,253,247,42.0141666666667,8.65444444444445,5,43440,52500,44100,0.2,0.05,0,0.25,0.25,11,4,2014,11,4,2014,11,4,2014
3,18,141,982,41.0161111111111,7.7225,5,48780,56280,54171.8030876784,0,0.03,0,0.03,0.03,11,4,2014,5,8,2015,11,4,2014
7,4,120,696,41.6925,7.10472222222222,5,48960,53880,49320,0,0.061,0,0.061,0.061,11,4,2014,11,4,2014,11,4,2014
7,4,264,1696,41.255,7.2125,2,56700,61800,57600,0,0,0.001,0,0.001,11,4,2014,11,4,2014,11,4,2014
7,4,139,1472,41.6380555555556,7.15166666666667,2,48000,50760,48300,0,0,1e-04,0,1e-04,12,4,2014,12,4,2014,12,4,2014
7,17,206,1658,41.6213888888889,7.73222222222222,5,51000,54600,51600,0,0.2,0,0.2,0.2,12,4,2014,12,4,2014,12,4,2014
7,18,220,1691,41.0891666666667,7.48083333333333,4,57360,9420,58320,0,17.5,0,17.5,17.5,12,4,2014,12,4,2014,13,4,2014
4,6,74,376,40.1830555555556,8.3525,5,73440,79380,74280,0,0.001,0,0.001,0.001,12,4,2014,12,4,2014,12,4,2014
5,16,257,147,41.7916666666667,8.72916666666667,5,58920,69300,58980,0.35,0.15,0,0.5,0.5,13,4,2014,13,4,2014,13,4,2014
7,17,15,1309,41.2497222222222,7.4325,5,62640,69000,63600,0.8,0,0,0.8,0.8,13,4,2014,13,4,2014,13,4,2014
3,9,189,645,40.6502777777778,7.18083333333333,1,69000,78240,71820,0,0.5,0,0.5,0.5,13,4,2014,13,4,2014,13,4,2014
7,17,49,653,41.6833333333333,7.63388888888889,5,2700,10800,5400,0.04,0,0,0.04,0.04,14,4,2014,14,4,2014,14,4,2014
7,17,206,1567,41.4822222222222,7.84555555555556,5,7200,20700,8100,0.35,0,0,0.35,0.35,14,4,2014,14,4,2014,14,4,2014
3,9,106,1735,40.4983333333333,7.30861111111111,1,44040,51000,44580,0,1,0,1,1,14,4,2014,14,4,2014,14,4,2014
4,18,223,822,40.7491666666667,7.72222222222222,5,50460,53940,51060,0.1498,0,0,0.1498,0.1498,14,4,2014,14,4,2014,14,4,2014
5,3,41,923,41.6413888888889,8.64555555555556,5,53940,60900,54900,0.15,0,0,0.15,0.15,14,4,2014,14,4,2014,14,4,2014
3,9,106,1233,40.4394444444444,7.22,1,61200,73200,63000,0,2,0,2,2,14,4,2014,14,4,2014,14,4,2014
1,12,81,289,38.8852777777778,7.07083333333333,2,69780,72900,70980,0,0,0.1104,0,0.1104,14,4,2014,14,4,2014,14,4,2014
