"region","district","municipality","parish","lat","lon","origin","alert_hour","extinction_hour","firstInterv_hour","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause","alert_day","alert_month","alert_year","firstInterv_day","firstInterv_month","firstInterv_year","extinction_day","extinction_month","extinction_year"
4,6,181,2383,40.0425,8.419444,2,78900,80700,79140,0,0,0.001,0,0.001,0,8,3,2014,8,3,2014,8,3,2014
4,6,181,2383,40.05861,8.396944,2,2100,5760,2400,0,0,0.02,0,0.02,0,9,3,2014,9,3,2014,9,3,2014
4,6,30,2209,40.22278,7.891944,5,9480,17040,12300,0,0.03,0,0.03,0.03,0,9,3,2014,9,3,2014,9,3,2014
5,16,55,653,41.825,8.76,5,43020,50400,44580,0,0.003,0,0.003,0.003,0,9,3,2014,9,3,2014,9,3,2014
7,17,143,2184,41.3225,7.932222,4,43740,57000,45600,0,8,0,8,8,0,9,3,2014,9,3,2014,9,3,2014
4,6,181,2383,40.02611,8.374722,2,49260,51600,49320,0,0,0.002,0,0.002,0,9,3,2014,9,3,2014,9,3,2014
3,9,96,771,40.62361,7.4925,5,61080,65700,63900,0,0.5,0,0.5,0.5,0,9,3,2014,9,3,2014,9,3,2014
5,18,73,1233,41.02944,8.140556,1,71400,75060,72360,0,0.01,0,0.01,0.01,0,9,3,2014,9,3,2014,9,3,2014
5,13,39,901,41.14972,7.916667,5,40200,48900,41100,0,0.54,0,0.54,0.54,0,10,3,2014,10,3,2014,10,3,2014
4,6,101,880,40.14417,8.138889,2,42480,45480,43500,0,0,5e-04,0,5e-04,0,10,3,2014,10,3,2014,10,3,2014
5,3,258,2661,41.39222,8.576389,5,46500,55800,47400,0,0.5,0,0.5,0.5,0,10,3,2014,10,3,2014,10,3,2014
5,18,73,1732,41.0825,8.200278,1,47100,53340,48180,0,0.015,0,0.015,0.015,0,10,3,2014,10,3,2014,10,3,2014
5,16,55,1574,41.80778,8.823889,5,47820,50700,48300,0,0.01,0,0.01,0.01,0,10,3,2014,10,3,2014,10,3,2014
5,1,243,1863,40.82083,8.405,5,50100,62400,51000,0,0.02,0,0.02,0.02,0,10,3,2014,10,3,2014,10,3,2014
4,6,30,1449,40.25056,7.833333,4,52200,58020,55200,1.2,1.8,0,3,3,0,10,3,2014,10,3,2014,10,3,2014
5,1,243,948,40.80167,8.3675,5,53640,60900,55200,0,0.3609,0,0.3609,0.3609,0,10,3,2014,10,3,2014,10,3,2014
4,18,204,2414,40.4325,8.093611,4,54300,76920,54600,8,1.5,0,9.5,9.5,0,10,3,2014,10,3,2014,10,3,2014
4,1,36,1569,40.57694,8.57,5,54300,61200,55020,0.0439,0,0,0.0439,0.0439,1,10,3,2014,10,3,2014,10,3,2014
5,1,205,2286,41.0375,8.534444,4,55920,65100,57300,0,1.53,0,1.53,1.53,0,10,3,2014,10,3,2014,10,3,2014
5,3,40,2214,41.46861,8.638889,5,55980,63900,56940,0.03,0,0,0.03,0.03,0,10,3,2014,10,3,2014,10,3,2014
3,9,240,2026,40.78056,7.305833,5,56280,62400,57300,0,0.1,0,0.1,0.1,0,10,3,2014,10,3,2014,10,3,2014
4,18,66,1192,40.9625,7.884444,4,57060,69540,58500,0,2,0,2,2,1,10,3,2014,10,3,2014,10,3,2014
5,16,186,2411,41.79778,8.365833,4,57480,72360,58200,0,4,0,4,4,0,10,3,2014,10,3,2014,10,3,2014
5,16,187,949,41.84556,8.618611,5,57960,61200,58500,0,0.02,0,0.02,0.02,1,10,3,2014,10,3,2014,10,3,2014
5,16,244,542,41.9775,8.603333,4,58620,66600,58680,0.5,2.5,0,3,3,0,10,3,2014,10,3,2014,10,3,2014
5,13,39,2458,41.14944,7.961944,5,60540,65400,61080,0,0.5,0,0.5,0.5,0,10,3,2014,10,3,2014,10,3,2014
7,4,58,1457,41.26639,7.355556,5,62400,67500,63300,0,0.18,0,0.18,0.18,0,10,3,2014,10,3,2014,10,3,2014
1,12,56,1790,38.98639,7.114444,2,66600,69300,67500,0,0,0.2713,0,0.2713,0,10,3,2014,10,3,2014,10,3,2014
6,10,54,2405,39.30139,9.016111,2,67860,69360,68160,0,0,0.005,0,0.005,0,10,3,2014,10,3,2014,10,3,2014
3,9,96,1983,40.68028,7.458056,1,67980,72000,69120,0,0.4,0,0.4,0.4,0,10,3,2014,10,3,2014,10,3,2014
5,1,32,1077,40.95611,8.407222,4,68400,83400,69300,0,1.46,0,1.46,1.46,0,10,3,2014,10,3,2014,10,3,2014
5,16,29,616,41.80556,8.490833,5,73380,78000,74280,0,0.06,0,0.06,0.06,0,10,3,2014,10,3,2014,10,3,2014
7,4,138,2303,41.30972,6.685278,2,76320,79800,76680,0,0,0.005,0,0.005,0,10,3,2014,10,3,2014,10,3,2014
3,9,202,1506,40.32444,6.998056,1,80100,83100,80760,0,0,0.001,0,0.001,0,10,3,2014,10,3,2014,10,3,2014
5,1,64,1538,41.05556,8.273889,5,32820,44400,33600,0.006,0.4375,0,0.4435,0.4435,0,11,3,2014,11,3,2014,11,3,2014
3,9,202,776,40.28944,6.894444,1,34140,38220,35100,0,0,0.01,0,0.01,0,11,3,2014,11,3,2014,11,3,2014
7,17,145,554,41.78306,7.806944,5,37440,42300,38100,0,0.01,0,0.01,0.01,0,11,3,2014,11,3,2014,11,3,2014
7,4,120,2239,41.62861,6.938056,5,41220,50640,42000,0,0.172,0,0.172,0.172,0,11,3,2014,11,3,2014,11,3,2014
4,18,236,2436,40.58222,8.060278,5,44640,50100,46260,0,0.1,0,0.1,0.1,0,11,3,2014,11,3,2014,11,3,2014
7,17,145,747,41.6975,7.974722,5,45900,54120,46800,0,0.3,0,0.3,0.3,0,11,3,2014,11,3,2014,11,3,2014
4,10,185,113,39.95556,8.651389,4,49080,61200,50400,1,0.8,0,1.8,1.8,0,11,3,2014,11,3,2014,11,3,2014
5,3,250,452,41.6325,8.126111,5,49260,57300,50100,0.1,0.4,0,0.5,0.5,0,11,3,2014,11,3,2014,11,3,2014
7,18,231,2402,41.09389,7.525556,5,49740,55800,50400,0,0.15,0,0.15,0.15,0,11,3,2014,11,3,2014,11,3,2014
4,6,101,2176,40.14139,8.071667,2,49920,60000,50700,0,0,0.5,0,0.5,0,11,3,2014,11,3,2014,11,3,2014
4,10,175,1383,39.97278,8.124722,5,49980,61200,50760,0.06,0.074,0,0.134,0.134,0,11,3,2014,11,3,2014,11,3,2014
5,16,248,145,41.63944,8.746944,5,50100,55200,51180,0.12,0,0,0.12,0.12,0,11,3,2014,11,3,2014,11,3,2014
4,18,150,702,40.40639,8.306944,4,50160,53520,51300,1.1,0,0,1.1,1.1,0,11,3,2014,11,3,2014,11,3,2014
5,3,258,2420,41.41111,8.505,4,50400,63000,51840,4.38,0,0,4.38,4.38,0,11,3,2014,11,3,2014,11,3,2014
3,9,106,2483,40.49472,7.299167,1,50520,55200,51600,0,0.005,0,0.005,0.005,0,11,3,2014,11,3,2014,11,3,2014
7,4,120,2239,41.68,6.981944,4,50580,61200,52560,0,2.5,0,2.5,2.5,0,11,3,2014,11,3,2014,11,3,2014
7,4,13,2264,41.43778,6.970556,4,51120,61800,52200,0,3.02,0,3.02,3.02,0,11,3,2014,11,3,2014,11,3,2014
5,16,141,1453,41.99028,8.488611,5,51900,58500,54780,0.02,0.18,0,0.2,0.2,0,11,3,2014,11,3,2014,11,3,2014
7,17,263,2685,41.46306,7.587222,4,52860,57600,54010.7481496299,0,4,0,4,4,0,11,3,2014,5,8,2015,11,3,2014
5,16,248,1300,41.74694,8.797778,5,53220,56220,53820,0.02,0,0,0.02,0.02,0,11,3,2014,11,3,2014,11,3,2014
5,16,29,2272,41.95778,8.251944,5,53760,60300,57360,0,0.03,0,0.03,0.03,0,11,3,2014,11,3,2014,11,3,2014
5,1,243,222,40.82278,8.288889,5,55800,71100,56400,0,0.86,0,0.86,0.86,0,11,3,2014,11,3,2014,11,3,2014
5,13,125,1406,41.09194,8.16,5,57600,63960,58680,0.05,0,0,0.05,0.05,0,11,3,2014,11,3,2014,11,3,2014
5,13,90,2419,41.34389,8.234444,2,60000,64680,60780,0,0,0.032,0,0.032,0,11,3,2014,11,3,2014,11,3,2014
5,16,141,2417,42.05222,8.536944,4,60240,66000,60900,1,0.1,0,1.1,1.1,0,11,3,2014,11,3,2014,11,3,2014
4,1,27,2028,40.41889,8.452222,2,61500,68280,61920,0,0,0.11,0,0.11,0,11,3,2014,11,3,2014,11,3,2014
5,16,187,798,41.80389,8.549722,5,61500,67500,62400,0.5,0,0,0.5,0.5,1,11,3,2014,11,3,2014,11,3,2014
5,16,55,1574,41.81556,8.815278,2,75180,77400,75300,0,0,0.01,0,0.01,0,11,3,2014,11,3,2014,11,3,2014
5,3,88,192,41.43,8.1525,4,76920,86100,77700,5,3,0,8,8,0,11,3,2014,11,3,2014,11,3,2014
5,16,29,616,41.92778,8.3825,5,79560,84600,80040,0,0.1,0,0.1,0.1,1,11,3,2014,11,3,2014,11,3,2014
6,14,102,882,39.40361,8.486111,2,85380,1380,85980,0,0,1e-04,0,1e-04,0,11,3,2014,11,3,2014,12,3,2014
4,1,36,1569,40.59306,8.530556,5,420,5100,1200,0,5e-04,0,5e-04,5e-04,0,12,3,2014,12,3,2014,12,3,2014
7,17,145,554,41.78028,7.807222,4,36600,61200,36900,0,18,0,18,18,0,12,3,2014,12,3,2014,12,3,2014
4,18,59,2228,40.61194,7.576111,5,41220,55200,42840,0,0.4,0,0.4,0.4,0,12,3,2014,12,3,2014,12,3,2014
3,5,78,1291,40.34,7.406389,5,41700,44700,42600,0,0.015,0,0.015,0.015,0,12,3,2014,12,3,2014,12,3,2014
7,17,264,782,41.35861,7.725278,5,45900,52200,46500,0.025,0.01,0,0.035,0.035,0,12,3,2014,12,3,2014,12,3,2014
4,18,164,2319,40.74944,8.227778,5,46740,60780,47700,0.5,0.2,0,0.7,0.7,0,12,3,2014,12,3,2014,12,3,2014
4,1,2,2416,40.65389,8.455,5,48060,54000,48720,0.26,0,0,0.26,0.26,0,12,3,2014,12,3,2014,12,3,2014
3,9,18,1475,40.52333,6.982222,1,49920,58500,53100,0,1,0,1,1,0,12,3,2014,12,3,2014,12,3,2014
4,18,66,2354,40.82722,7.931389,5,51900,61140,53880,0,0.05,0,0.05,0.05,0,12,3,2014,12,3,2014,12,3,2014
1,2,151,1491,38.21167,7.304167,2,54120,59100,56100,0,0,0.4,0,0.4,0,12,3,2014,12,3,2014,12,3,2014
4,18,236,436,40.55111,8.058056,5,54360,60900,55080,0.2,0.1,0,0.3,0.3,0,12,3,2014,12,3,2014,12,3,2014
2,8,114,1638,37.25917,7.940278,4,54660,67800,56700,0,1.873,0,1.873,1.873,0,12,3,2014,12,3,2014,12,3,2014
6,14,1,2122,39.56889,8.225833,5,57900,66360,60000,0.04,0.0764,0,0.1164,0.1164,1,12,3,2014,12,3,2014,12,3,2014
4,18,270,1577,40.74556,7.953611,5,59400,67200,60300,0.2,0.2,0,0.4,0.4,0,12,3,2014,12,3,2014,12,3,2014
5,16,141,1445,42.05833,8.516111,5,59520,63660,60300,0.5,0,0,0.5,0.5,0,12,3,2014,12,3,2014,12,3,2014
7,4,51,580,41.65472,6.666389,4,59520,68400,61440,1.35,1.683,0,3.033,3.033,0,12,3,2014,12,3,2014,12,3,2014
2,8,67,523,37.19528,7.48,5,62460,70260,63240,0,0.5,0,0.5,0.5,0,12,3,2014,12,3,2014,12,3,2014
3,9,94,517,40.87528,6.923333,1,62580,64920,63360,0,0,0.02,0,0.02,0,12,3,2014,12,3,2014,12,3,2014
3,9,240,2026,40.76139,7.314444,1,69780,71700,70500,0,0.02,0,0.02,0.02,0,12,3,2014,12,3,2014,12,3,2014
4,18,213,2198,40.75111,8.081111,5,70320,74100,71700,0,0.001,0,0.001,0.001,0,12,3,2014,12,3,2014,12,3,2014
5,16,244,2271,42.01472,8.587778,1,70560,75600,71100,0,0.05,0,0.05,0.05,0,12,3,2014,12,3,2014,12,3,2014
3,9,184,896,40.65528,7.162778,1,72720,76500,73740,0,0.01,0,0.01,0.01,0,12,3,2014,12,3,2014,12,3,2014
5,16,55,1574,41.81556,8.815278,5,75480,78600,75900,0,0.01,0,0.01,0.01,0,12,3,2014,12,3,2014,12,3,2014
7,17,49,1901,41.70863,7.635718,4,75900,78900,76800,0,1,0,1,1,0,12,3,2014,12,3,2014,12,3,2014
5,16,187,310,41.76528,8.499722,4,5760,25500,7620,4,5,0,9,9,1,13,3,2014,13,3,2014,13,3,2014
5,3,88,1784,41.45472,8.0775,4,7020,15300,8400,0,2.5,0,2.5,2.5,1,13,3,2014,13,3,2014,13,3,2014
7,17,264,2605,41.32778,7.774167,5,10800,15600,11700,0.08,0.02,0,0.1,0.1,0,13,3,2014,13,3,2014,13,3,2014
4,18,164,1797,40.79806,8.249444,5,30600,40200,31860,0,0.3,0,0.3,0.3,1,13,3,2014,13,3,2014,13,3,2014
2,8,110,957,37.125,8.441389,2,39660,42300,40320,0,0,0.0925,0,0.0925,0,13,3,2014,13,3,2014,13,3,2014
3,9,106,2603,40.52389,7.189167,1,46800,61080,48240,0,0.5,0,0.5,0.5,0,13,3,2014,13,3,2014,13,3,2014
4,18,272,73,40.64861,8.178889,4,48540,56100,50400,0.3,1,0,1.3,1.3,0,13,3,2014,13,3,2014,13,3,2014
7,17,245,473,41.63917,7.291944,5,49500,51600,49920,0,0.5,0,0.5,0.5,0,13,3,2014,13,3,2014,13,3,2014
4,18,272,1847,40.73861,8.021111,5,52140,61500,53100,0,1e-04,0,1e-04,1e-04,0,13,3,2014,13,3,2014,13,3,2014
5,16,187,1454,41.6825,8.639167,4,54240,62580,58740,1,0,0,1,1,1,13,3,2014,13,3,2014,13,3,2014
3,9,202,81,40.315,6.844444,1,57300,60720,58200,0,1,0,1,1,0,13,3,2014,13,3,2014,13,3,2014
5,3,40,1218,41.54833,8.517778,4,57660,79800,58200,22.7,0,0,22.7,22.7,0,13,3,2014,13,3,2014,13,3,2014
4,6,30,1909,40.28639,7.976944,2,62160,65640,62460,0,0,0.03,0,0.03,0,13,3,2014,13,3,2014,13,3,2014
1,2,219,368,38.05778,7.617222,2,68760,73200,69720,0,0,0.02,0,0.02,0,13,3,2014,13,3,2014,13,3,2014
7,17,263,356,41.54611,7.541389,5,70020,70620,54010.7481496299,0,0.1,0,0.1,0.1,1,13,3,2014,5,8,2015,13,3,2014
7,18,180,1402,41.04278,7.420833,5,70020,72840,70620,0,0.01,0,0.01,0.01,0,13,3,2014,13,3,2014,13,3,2014
7,18,231,2327,41.06361,7.528333,5,70440,78300,71100,0,0.65,0,0.65,0.65,0,13,3,2014,13,3,2014,13,3,2014
7,17,49,138,41.68917,7.886944,4,72600,80880,75000,0,2,0,2,2,0,13,3,2014,13,3,2014,13,3,2014
5,3,193,786,41.565,8.249722,5,79500,83400,80100,0,0.02,0,0.02,0.02,0,13,3,2014,13,3,2014,13,3,2014
7,18,232,2516,40.99667,7.827222,1,82800,300,84660,0,0.001,0,0.001,0.001,0,13,3,2014,13,3,2014,14,3,2014
3,5,78,2404,40.375,7.468333,5,41640,47760,42900,0,0.01,0,0.01,0.01,0,14,3,2014,14,3,2014,14,3,2014
5,3,107,1828,41.55417,8.2025,4,42120,51000,42300,2,0,0,2,2,0,14,3,2014,14,3,2014,14,3,2014
4,6,228,1999,40.15,8.653333,5,50400,52680,50940,0,0.03,0,0.03,0.03,0,14,3,2014,14,3,2014,14,3,2014
4,1,36,1569,40.58667,8.5625,5,52200,61200,53700,0.1905,0,0,0.1905,0.1905,1,14,3,2014,14,3,2014,14,3,2014
7,17,145,2428,41.76167,7.863056,5,52740,57600,54000,0,0.1,0,0.1,0.1,0,14,3,2014,14,3,2014,14,3,2014
4,10,23,124,39.83778,8.464722,5,53100,58800,53820,0.2,0,0,0.2,0.2,0,14,3,2014,14,3,2014,14,3,2014
3,9,106,885,40.45806,7.192778,1,53820,55860,54000,0,0.3,0,0.3,0.3,0,14,3,2014,14,3,2014,14,3,2014
5,3,50,702,41.54639,8.368056,5,54180,62100,55500,0,0.1,0,0.1,0.1,0,14,3,2014,14,3,2014,14,3,2014
4,1,129,496,40.31833,8.455833,5,55920,69900,56700,0.46,0.2,0,0.66,0.66,0,14,3,2014,14,3,2014,14,3,2014
4,6,228,2229,40.0075,8.521667,5,57540,64740,59700,0,0.04,0,0.04,0.04,1,14,3,2014,14,3,2014,14,3,2014
7,18,31,2384,41.07778,7.706389,5,60480,63300,61200,0,0.01,0,0.01,0.01,0,14,3,2014,14,3,2014,14,3,2014
7,17,206,792,41.22806,7.8025,5,62220,64800,63000,0,0.02,0,0.02,0.02,0,14,3,2014,14,3,2014,14,3,2014
2,8,142,1172,37.32361,8.596667,5,66300,73200,67500,0,0.1,0,0.1,0.1,0,14,3,2014,14,3,2014,14,3,2014
5,16,244,860,42.025,8.608333,4,66960,72000,67500,1.1,2.9,0,4,4,0,14,3,2014,14,3,2014,14,3,2014
3,9,106,605,40.51194,7.311944,1,69420,76800,72000,0,0.05,0,0.05,0.05,0,14,3,2014,14,3,2014,14,3,2014
7,17,143,2234,41.45889,7.936944,4,72120,1980,75900,0,3,0,3,3,0,14,3,2014,14,3,2014,15,3,2014
7,4,269,686,41.71667,7.088911,5,74280,78720,74400,0,0.24,0,0.24,0.24,0,14,3,2014,14,3,2014,14,3,2014
5,16,186,2341,41.79722,8.397778,5,77280,81300,77700,0,0.02,0,0.02,0.02,1,14,3,2014,14,3,2014,14,3,2014
4,6,30,1909,40.24194,8.084167,5,1620,6120,2460,0.01,0,0,0.01,0.01,0,15,3,2014,15,3,2014,15,3,2014
6,14,77,613,38.92583,8.584444,2,40860,53400,44220,0.05,0,0.3567,0.05,0.4067,0,15,3,2014,15,3,2014,15,3,2014
7,17,72,182,41.67389,7.583056,4,43680,57600,44700,1,0,0,1,1,0,15,3,2014,15,3,2014,15,3,2014
6,14,8,2292,39.41917,8.738611,5,44460,49080,45300,0,0.0348,0,0.0348,0.0348,0,15,3,2014,15,3,2014,15,3,2014
4,18,123,59,40.55139,7.918333,5,45720,51000,47940,0,0.01,0,0.01,0.01,0,15,3,2014,15,3,2014,15,3,2014
7,4,137,460,41.43556,7.052778,4,46200,62400,46500,0,3.75,0,3.75,3.75,0,15,3,2014,15,3,2014,15,3,2014
7,17,145,2438,41.90556,7.696389,4,47760,54600,48360,0,3,0,3,3,0,15,3,2014,15,3,2014,15,3,2014
6,14,203,2360,39.00389,8.731667,2,48360,58080,49860,0,0,0.2708,0,0.2708,0,15,3,2014,15,3,2014,15,3,2014
5,3,107,2168,41.53139,8.299444,4,48720,62100,49200,2,4,0,6,6,1,15,3,2014,15,3,2014,15,3,2014
3,9,202,91,40.3925,6.897222,1,49440,54000,50100,0,0,0.01,0,0.01,0,15,3,2014,15,3,2014,15,3,2014
7,17,199,2355,41.62139,7.732222,4,50100,60600,51600,1,1,0,2,2,0,15,3,2014,15,3,2014,15,3,2014
5,3,70,2480,41.43917,8.018889,5,52800,59100,54000,0,0.5,0,0.5,0.5,1,15,3,2014,15,3,2014,15,3,2014
5,16,29,1972,41.93556,8.403056,4,53640,58200,55200,0,1,0,1,1,0,15,3,2014,15,3,2014,15,3,2014
2,8,114,166,37.33556,7.950278,5,53760,64260,57000,0,0.815,0,0.815,0.815,0,15,3,2014,15,3,2014,15,3,2014
7,4,58,2134,41.27667,7.324167,5,54060,57600,54900,0,0.0054,0,0.0054,0.0054,0,15,3,2014,15,3,2014,15,3,2014
3,9,96,771,40.61917,7.499722,5,54720,59100,56100,0,0.005,0,0.005,0.005,0,15,3,2014,15,3,2014,15,3,2014
5,16,248,1222,41.65167,8.6825,5,55380,60780,56460,0.4,0,0,0.4,0.4,0,15,3,2014,15,3,2014,15,3,2014
6,11,121,2426,39.00528,9.351111,1,55680,64800,56400,0,0.1,0,0.1,0.1,0,15,3,2014,15,3,2014,15,3,2014
5,16,187,199,41.75778,8.681389,4,55860,61920,57000,1,0,0,1,1,0,15,3,2014,15,3,2014,15,3,2014
4,18,236,1169,40.52889,8.098889,5,59160,64500,60780,0.005,0.015,0,0.02,0.02,0,15,3,2014,15,3,2014,15,3,2014
5,16,186,1002,41.86833,8.191667,1,59160,63180,59700,0.65,0.4,0,1.05,1.05,0,15,3,2014,15,3,2014,15,3,2014
3,9,240,612,40.82667,7.240278,4,59340,79200,61500,2,5,0,7,7,0,15,3,2014,15,3,2014,15,3,2014
5,16,248,1300,41.76083,8.783333,5,61320,66600,62220,0,0.15,0,0.15,0.15,0,15,3,2014,15,3,2014,15,3,2014
5,16,244,542,41.97778,8.632222,4,61320,68400,62400,1,1.3,0,2.3,2.3,0,15,3,2014,15,3,2014,15,3,2014
4,18,164,2319,40.78194,8.2425,5,67500,70740,67800,0,1e-04,0,1e-04,1e-04,0,15,3,2014,15,3,2014,15,3,2014
3,9,202,1506,40.3525,7.000278,1,67500,72840,68280,0,0.03,0,0.03,0.03,0,15,3,2014,15,3,2014,15,3,2014
3,9,130,1530,40.99389,7.331944,2,69000,72600,70500,0,0,0.1,0,0.1,0,15,3,2014,15,3,2014,15,3,2014
4,10,95,429,39.96833,8.246111,5,69120,81000,70200,0.3,0.3,0,0.6,0.6,0,15,3,2014,15,3,2014,15,3,2014
4,18,164,2319,40.78194,8.2425,5,74700,77520,75900,0,5e-04,0,5e-04,5e-04,1,15,3,2014,15,3,2014,15,3,2014
7,18,112,967,41.12917,7.807222,1,76320,79800,76980,0,0.1,0,0.1,0.1,0,15,3,2014,15,3,2014,15,3,2014
5,16,29,1972,41.87417,8.2375,4,77460,11100,77700,0,3,0,3,3,1,15,3,2014,15,3,2014,16,3,2014
5,16,29,1595,41.81917,8.500556,4,35100,50700,36000,0.5,1,0,1.5,1.5,1,16,3,2014,16,3,2014,16,3,2014
5,16,248,1300,41.79167,8.729167,5,35580,42780,37500,0,0.444,0,0.444,0.444,1,16,3,2014,16,3,2014,16,3,2014
3,9,240,761,40.74056,7.371667,4,38220,47400,38700,0.1,1.4,0,1.5,1.5,0,16,3,2014,16,3,2014,16,3,2014
5,16,248,28,41.77806,8.86,4,38280,60240,40800,0,15.94,0,15.94,15.94,1,16,3,2014,16,3,2014,16,3,2014
7,17,145,1642,41.67,7.916944,4,43200,76500,45000,12.8,7,0,19.8,19.8,0,16,3,2014,16,3,2014,16,3,2014
5,16,248,1300,41.74694,8.797778,4,43320,51600,43320,279.849,94.987,0,374.836,374.836,1,16,3,2014,16,3,2014,16,3,2014
6,14,238,2317,39.49889,8.468889,2,43560,51900,44820,0,0,0.2215,0,0.2215,1,16,3,2014,16,3,2014,16,3,2014
5,16,174,1317,41.91778,8.539444,5,45600,50700,45780,0,0.25,0,0.25,0.25,0,16,3,2014,16,3,2014,16,3,2014
7,17,49,305,41.70333,7.750833,4,48000,57420,48840,0.1,1.5,0,1.6,1.6,0,16,3,2014,16,3,2014,16,3,2014
4,1,163,2338,40.80972,8.457778,5,48660,58500,49500,0,0.21,0,0.21,0.21,0,16,3,2014,16,3,2014,16,3,2014
7,4,97,2260,41.18944,6.812778,4,49380,72000,50400,1.88,32.93,0,34.81,34.81,0,16,3,2014,16,3,2014,16,3,2014
4,9,3,1392,40.73139,7.511389,5,50460,58200,51240,0.4,0.4,0,0.8,0.8,0,16,3,2014,16,3,2014,16,3,2014
7,4,97,2260,41.17139,6.781944,4,50820,68700,51300,0,3.15,0,3.15,3.15,0,16,3,2014,16,3,2014,16,3,2014
5,16,29,891,41.90694,8.407222,4,56580,68400,58200,1,1,0,2,2,1,16,3,2014,16,3,2014,16,3,2014
7,4,51,2690,41.73806,6.892778,5,58500,64020,59700,0.52,0,0,0.52,0.52,0,16,3,2014,16,3,2014,16,3,2014
4,6,230,2220,40.34278,7.946389,5,61260,67860,61920,0,0.05,0,0.05,0.05,0,16,3,2014,16,3,2014,16,3,2014
